 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2019,CADENCE DESIGN SYSTEMS INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.00,-0.02,"-11,099,941","-10,858,336","-2,852","-144,035","-33,530",-493,"-2,900","-58,950","1,155",13%
2018,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.04,-0.41,"-342,060,753","-283,877,959","-64,627","-3,697,225","-865,562","-11,684","-10,495","-53,530,523","-2,678",4%
2017,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.06,-0.55,"-291,871,705","-249,131,555","-56,804","-3,268,115","-765,482","-10,293","-6,069","-38,631,838","-1,549",3%
2016,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming,"Recreational, cultural and sporting activities (92)",-0.09,-1.29,"-330,378,606","-281,989,454","-64,352","-3,714,207","-870,212","-11,676","-4,849","-43,722,618","-1,237",2%
2015,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.08,-0.62,"-353,062,137","-317,541,573","-72,457","-4,180,121","-979,334","-13,144","-5,777","-30,268,256","-1,474",2%
2014,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.05,-0.65,"-430,608,655","-329,741,030","-75,136","-4,312,870","-1,009,989","-13,603","-9,733","-95,443,810","-2,484",3%
2013,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.42,"-369,576,150","-324,204,717","-73,893","-4,245,476","-994,287","-13,383","-8,897","-40,033,227","-2,270",3%
2012,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.44,"-344,882,732","-320,252,919","-72,980","-4,190,252","-981,298","-13,214","-9,254","-19,360,454","-2,362",4%
2011,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.35,"-347,936,516","-323,607,847","-73,700","-4,222,317","-988,616","-13,333","-10,938","-19,016,974","-2,791",4%
2010,CAESARS ENTERTAINMENT CORP,UNITED STATES OF AMERICA,Casinos & Gaming," Recreational, cultural and sporting activities (92) ",-0.04,-0.38,"-334,512,191","-327,181,076","-74,542","-4,276,552","-1,001,438","-13,492","-10,038","-1,952,491","-2,562",4%
2019,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.03,-0.22,"-259,098,397","-194,640,895","-49,466","-2,612,740","-604,928","-8,646","-30,980","-61,166,154","15,412",7%
2018,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.04,-0.24,"-317,167,040","-212,408,092","-53,882","-2,850,755","-660,186","-9,425","-33,189","-101,168,023","16,511",7%
2017,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.04,-0.21,"-314,901,300","-218,798,860","-54,858","-2,933,388","-680,307","-9,637","-30,151","-92,409,099","15,000",6%
2016,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats,Processing of Food products nec,-0.04,-0.22,"-317,510,850","-209,093,050","-52,682","-2,804,515","-650,026","-9,238","-30,422","-104,886,051","15,135",6%
2015,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.27,"-330,384,661","-213,703,391","-53,777","-2,866,033","-664,385","-9,434","-30,682","-113,072,222","15,264",6%
2014,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.26,"-328,439,475","-219,499,884","-50,142","-2,922,839","-678,438","-9,089","-28,926","-105,249,871",-287,1%
2013,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.27,"-329,184,246","-239,635,070","-54,839","-3,190,598","-741,940","-9,943","-25,816","-85,526,058",16,1%
2012,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.05,-0.33,"-379,476,511","-219,955,614","-54,385","-2,945,189","-684,208","-9,604","-25,541","-155,814,676","12,707",4%
2011,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.21,"-305,809,511","-244,384,323","-60,445","-3,272,386","-760,189","-10,673","-28,504","-57,307,170","14,181",6%
2010,CAMPBELL SOUP CO,UNITED STATES OF AMERICA,Packaged Foods & Meats, Processing of Food products nec ,-0.04,-0.22,"-301,555,825","-250,545,504","-61,713","-3,353,639","-779,457","-10,914","-27,618","-46,790,721","13,740",6%
2017,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-46,569,490","-45,546,967","-14,479","-603,576","-140,840","-2,346","-25,797","-247,552","12,068",23%
2016,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-57,910,874","-48,777,453","-14,882","-646,721","-151,011","-2,443","-23,664","-8,305,770","11,070",19%
2015,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-64,046,573","-54,056,951","-15,698","-717,147","-167,586","-2,620","-21,181","-9,075,299","9,908",16%
2014,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-79,492,248","-66,974,818","-18,216","-889,185","-207,991","-3,109","-18,411","-11,389,132","8,613",12%
2013,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-82,811,966","-69,594,224","-18,582","-924,147","-216,226","-3,192","-16,931","-12,046,584","7,920",11%
2012,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-60,272,020","-47,404,445","-13,468","-629,051","-147,048","-2,264","-16,684","-12,066,864","7,805",14%
2011,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-57,749,455","-56,489,350","-15,375","-749,969","-175,425","-2,623","-15,598","-308,410","7,297",14%
2010,CAPITAL ONE FINANCIAL CORP,UNITED STATES OF AMERICA,Consumer Finance," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-58,741,031","-57,460,159","-15,355","-763,011","-178,522","-2,637","-14,064","-313,862","6,579",12%
2019,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),0.28,1.81,"6,005,884,621","5,885,022,696","-1,759,045","71,990,906","16,759,405","-67,344","-20,322","26,007,710","7,950,616",0%
2018,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),0.43,2.48,"6,097,312,786","5,986,663,363","-1,780,063","73,605,425","17,115,139","-64,345","-13,583","13,825,687","7,961,162",0%
2017,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),0.45,2.71,"6,087,635,004","5,976,986,404","-1,781,669","73,552,004","17,098,564","-64,016","-13,033","13,918,464","7,938,286",0%
2016,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines",Other service activities (93),0.50,2.66,"5,995,659,475","5,875,164,897","-1,754,924","72,294,333","16,805,413","-63,255","-11,550","25,413,421","7,811,141",0%
2015,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.49,2.99,"5,071,947,917","4,964,409,861","-1,832,563","64,316,459","14,737,762","-53,196","-9,716","24,008,671","6,370,640",0%
2014,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.51,4.53,"4,902,436,779","4,799,544,137","-1,763,295","61,288,732","14,086,569","-58,751","-8,316","22,950,879","6,396,824",0%
2013,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.49,5.60,"4,888,905,263","4,786,558,688","-1,756,402","60,543,315","13,942,891","-63,627","-7,726","23,147,425","6,540,698",0%
2012,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.52,4.43,"5,061,866,326","4,956,769,489","-1,814,246","62,858,278","14,468,852","-64,051","-7,838","22,938,031","6,717,812",0%
2011,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.54,3.71,"5,265,635,946","5,157,407,296","-1,889,368","66,088,526","15,179,645","-60,619","-9,037","22,122,085","6,797,418",0%
2010,CARNIVAL CORPORATION & PLC,UNITED STATES OF AMERICA,"Hotels, Resorts & Cruise Lines", Other service activities (93) ,0.55,3.48,"5,134,982,872","5,025,430,608","-1,838,799","64,301,046","14,773,736","-59,746","-8,194","25,737,831","6,646,390",0%
2018,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),-0.29,-3.62,"-188,676,830","-184,586,922","-42,269","-2,453,131","-575,097","-7,687",-578,"-1,011,269",121,0%
2017,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),-0.31,-3.58,"-188,678,831","-184,588,647","-42,264","-2,453,322","-575,145","-7,686",-524,"-1,011,353",110,0%
2016,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,-0.33,-4.10,"-188,007,505","-183,931,752","-42,111","-2,444,680","-573,120","-7,659",-494,"-1,007,794",104,0%
2013,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,-0.44,-11.53,"-202,286,853","-197,900,669","-45,289","-2,630,975","-616,806","-8,239",-331,"-1,084,613",69,0%
2012,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,-0.46,-7.24,"-222,309,180","-217,488,859","-49,772","-2,891,384","-677,856","-9,055",-365,"-1,191,966",77,0%
2011,CASELLA WASTE SYS INC  -CL A,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,-0.51,-9.09,"-238,901,270","-233,721,227","-53,488","-3,107,152","-728,440","-9,730",-402,"-1,280,915",85,0%
2019,CATALENT INC,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.03,-0.25,"-74,644,742","-58,893,750","-14,490","-778,758","-181,255","-2,558","-7,376","-14,769,629","3,073",25%
2018,CATALENT INC,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.03,-0.29,"-84,525,866","-68,866,987","-16,748","-911,496","-212,403","-2,970","-7,216","-14,511,050","3,006",22%
2017,CATALENT INC,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.05,-0.38,"-96,970,785","-83,219,573","-19,873","-1,103,076","-257,523","-3,551","-6,080","-12,363,642","2,533",16%
2016,CATALENT INC,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.04,-0.36,"-81,877,232","-69,729,092","-16,696","-924,064","-215,673","-2,980","-5,414","-10,985,569","2,256",17%
2013,CBRE GROUP INC,UNITED STATES OF AMERICA,Real Estate Services , Real estate activities (70) ,0.00,-0.02,"-17,280,540","-16,928,361","-4,379","-208,779","-48,647",-740,"-5,217","-85,514","1,097",24%
2012,CBRE GROUP INC,UNITED STATES OF AMERICA,Real Estate Services , Real estate activities (70) ,0.00,-0.03,"-19,712,983","-19,306,858","-4,897","-241,270","-56,280",-837,"-4,943","-98,938","1,039",21%
2011,CBRE GROUP INC,UNITED STATES OF AMERICA,Real Estate Services , Real estate activities (70) ,0.00,-0.03,"-15,805,711","-15,484,993","-4,037","-189,964","-44,243",-679,"-5,095","-77,771","1,071",25%
2019,CELANESE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.15,-0.90,"-927,691,168","-880,862,685","-210,339","-11,729,451","-2,731,161","-37,642","-338,569","-31,810,431","29,110",1%
2018,CELANESE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.12,-0.65,"-868,199,935","-828,143,288","-211,791","-10,950,502","-2,552,320","-35,886","-384,701","-25,956,354","34,907",8%
2017,CELANESE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.13,-0.83,"-805,619,122","-841,130,450","-211,517","-11,134,674","-2,596,626","-36,220","-330,127","49,790,536","29,955",6%
2016,CELANESE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.18,-1.10,"-995,206,714","-991,265,713","-243,187","-13,149,625","-3,065,863","-42,293","-289,749","12,823,423","26,291",5%
2010,CENTERPOINT ENERGY INC,UNITED STATES OF AMERICA,Multi-Utilities, Production of electricity nec ,-0.72,-4.70,"-6,224,577,888","-6,090,107,110","-1,492,905","-80,417,063","-18,812,364","-264,391","-710,782","-33,077,028","303,754",8%
2019,CF INDUSTRIES HOLDINGS INC,UNITED STATES OF AMERICA,Fertilizers & Agricultural Chemicals,N-fertiliser,-1.41,-7.03,"-6,465,394,218","-5,694,562,627","-1,392,746","-75,696,296","-17,717,651","-247,394","-2,454,272","-673,606,146","282,913",1%
2018,CF INDUSTRIES HOLDINGS INC,UNITED STATES OF AMERICA,Fertilizers & Agricultural Chemicals,N-fertiliser,-1.36,-8.74,"-6,029,793,048","-5,193,437,971","-1,275,581","-69,032,523","-16,157,339","-226,242","-2,368,185","-747,569,863","274,656",1%
2017,CF INDUSTRIES HOLDINGS INC,UNITED STATES OF AMERICA,Fertilizers & Agricultural Chemicals,N-fertiliser,-1.52,-21.64,"-6,275,521,880","-5,469,980,033","-1,342,018","-72,764,544","-17,028,093","-238,165","-2,208,310","-712,246,562","285,844",1%
2016,CF INDUSTRIES HOLDINGS INC,UNITED STATES OF AMERICA,Fertilizers & Agricultural Chemicals, N-fertiliser ,-1.63,-15.12,"-6,003,954,983","-4,832,612,609","-1,179,938","-64,290,363","-15,033,642","-209,754","-1,970,368","-1,088,895,201","236,892",1%
2019,CHEMOURS CO,UNITED STATES OF AMERICA,Diversified Chemicals,Petroleum Refinery,-0.52,-6.61,"-2,875,416,255","-2,708,866,172","-643,743","-35,729,814","-8,359,225","-114,184","-711,141","-121,030,048","38,072",1%
2018,CHEMOURS CO,UNITED STATES OF AMERICA,Diversified Chemicals,Petroleum Refinery,-0.49,-2.53,"-3,281,228,767","-3,012,234,805","-711,793","-39,693,464","-9,283,740","-126,464","-854,244","-218,353,885","29,629",2%
2017,CHEMOURS CO,UNITED STATES OF AMERICA,Diversified Chemicals,Petroleum Refinery,-0.67,-3.85,"-4,126,067,781","-3,563,986,505","-853,374","-46,956,428","-10,994,184","-149,808","-795,690","-502,363,307","31,514",2%
2016,CHEMOURS CO,UNITED STATES OF AMERICA,Diversified Chemicals,Petroleum Refinery,-0.60,-7.55,"-3,252,366,850","-2,819,865,139","-694,466","-37,106,091","-8,686,599","-119,813","-694,926","-385,254,520","54,703",1%
2015,CHEMOURS CO,UNITED STATES OF AMERICA,Diversified Chemicals, Petroleum Refinery ,-0.67,-16.93,"-3,826,810,175","-3,271,397,993","-803,933","-43,070,512","-10,086,901","-138,904","-737,211","-500,635,237","60,515",1%
2019,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.11,-39.26,"-16,018,798,903","-15,245,995,183","-4,835,792","-205,958,706","-47,330,131","-773,437","-11,007,277","-506,647,834","3,749,457",2%
2018,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.10,-1.11,"-15,952,481,020","-15,279,230,532","-5,050,476","-206,721,903","-47,477,366","-796,846","-12,468,908","-405,064,517","4,329,528",2%
2017,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.11,-5.67,"-14,697,460,916","-13,820,043,385","-4,928,989","-189,847,523","-42,696,008","-753,548","-10,584,989","-633,466,876","4,860,402",2%
2016,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.14,NA,"-15,734,146,318","-14,943,130,399","-5,200,391","-203,435,752","-46,347,445","-795,239","-8,676,960","-531,181,099","4,620,966",1%
2015,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.12,NA,"-15,040,590,206","-14,310,090,070","-5,145,469","-193,677,311","-44,208,770","-768,805","-9,963,890","-481,290,441","4,554,551",2%
2014,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.08,-0.76,"-14,626,715,364","-13,833,205,945","-5,120,471","-184,779,400","-42,252,089","-740,109","-13,399,495","-551,451,477","4,233,622",2%
2013,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.07,-0.53,"-14,605,188,664","-13,850,903,557","-5,374,330","-184,842,495","-42,264,123","-753,813","-11,234,335","-514,304,209","4,488,197",2%
2012,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.06,-0.41,"-14,439,897,867","-13,678,491,876","-5,187,539","-183,183,874","-41,478,759","-740,478","-15,312,699","-519,956,761","4,454,118",2%
2011,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.07,-0.42,"-16,064,665,482","-15,116,381,258","-5,533,934","-202,295,726","-45,370,917","-784,026","-14,225,404","-684,092,324","4,018,106",2%
2010,CHEVRON CORP,UNITED STATES OF AMERICA,Integrated Oil & Gas," Extraction of crude petroleum and services related to crude oil extraction, excluding surveying ",-0.08,-0.60,"-15,556,954,421","-15,209,787,984","-5,596,776","-203,079,221","-45,638,553","-792,372","-15,926,767","-80,262,648","4,129,901",2%
2019,CHIPOTLE MEXICAN GRILL INC,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.01,-0.17,"-80,178,615","-78,446,171","-18,461","-1,039,632","-241,925","-3,315","-5,373","-425,388","1,649",5%
2018,CHIPOTLE MEXICAN GRILL INC,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.02,-0.21,"-74,940,688","-73,320,998","-17,222","-971,944","-226,290","-3,095","-4,679","-397,897","1,436",5%
2016,CHIPOTLE MEXICAN GRILL INC,UNITED STATES OF AMERICA,Restaurants,Other service activities (93),-0.02,-1.28,"-74,092,419","-72,489,986","-16,942","-961,523","-224,159","-3,052","-3,755","-394,154","1,153",4%
2012,CINCINNATI FINANCIAL CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-10,125,579","-9,904,144","-2,727","-131,820","-30,858",-464,"-2,688","-54,249","1,371",14%
2011,CINCINNATI FINANCIAL CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.04,"-10,752,106","-10,516,947","-2,902","-139,977","-32,767",-493,"-2,889","-57,605","1,474",14%
2010,CINCINNATI FINANCIAL CORP,UNITED STATES OF AMERICA,Property & Casualty Insurance," Insurance and pension funding, except compulsory social security (66) ",0.00,-0.02,"-11,455,903","-11,205,534","-3,045","-149,132","-34,914",-520,"-2,807","-61,382","1,432",13%
2019,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",0.00,-0.02,"-232,112,251","-221,933,332","-49,992","-2,988,354","-673,629","-9,165","-76,276","-6,384,091","2,590",6%
2018,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.01,-0.02,"-248,997,616","-226,807,186","-51,418","-3,052,451","-689,977","-9,404","-72,494","-18,318,003","3,316",5%
2017,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.01,-0.02,"-286,179,613","-248,014,948","-55,953","-3,332,219","-756,278","-10,249","-70,546","-33,941,622","2,202",4%
2016,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.01,-0.02,"-285,238,494","-247,266,926","-56,405","-3,325,739","-754,072","-10,292","-72,372","-33,756,963","4,275",4%
2015,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.01,-0.03,"-281,381,902","-244,888,547","-55,949","-3,293,800","-747,026","-10,203","-71,109","-32,319,733","4,466",4%
2014,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.01,-0.03,"-270,182,524","-235,110,955","-54,548","-3,162,549","-719,308","-9,893","-62,344","-31,069,436","6,508",4%
2013,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.01,-0.02,"-247,044,476","-221,148,201","-52,499","-2,979,696","-677,568","-9,447","-58,951","-22,127,988","9,873",4%
2012,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.01,-0.02,"-241,321,004","-211,986,445","-50,505","-2,857,362","-649,482","-9,077","-57,254","-25,720,955","10,077",4%
2011,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",0.00,-0.02,"-207,945,317","-203,380,472","-48,040","-2,742,349","-621,567","-8,661","-60,025","-1,092,904","8,702",5%
2010,CISCO SYSTEMS INC,UNITED STATES OF AMERICA,Communications Equipment," Manufacture of radio, television and communication equipment and apparatus (32) ",-0.01,-0.02,"-203,605,107","-196,955,405","-45,852","-2,649,754","-602,790","-8,306","-51,884","-3,297,035","5,919",4%
2019,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-156,637,812","-151,146,028","-48,580","-2,002,661","-467,219","-7,844","-88,987","-2,918,121","41,628",23%
2018,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-157,187,327","-128,999,045","-42,637","-1,708,585","-398,418","-6,825","-83,415","-25,987,423","39,021",22%
2017,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-201,496,491","-158,005,110","-47,974","-2,095,053","-489,237","-7,889","-75,184","-40,811,215","35,171",17%
2016,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-208,517,851","-189,479,934","-54,573","-2,513,979","-587,551","-9,133","-71,380","-15,834,693","33,391",16%
2015,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.01,"-260,011,018","-201,482,703","-57,858","-2,673,322","-624,820","-9,692","-74,810","-55,122,810","34,996",14%
2014,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.02,"-279,037,618","-224,812,509","-62,454","-2,983,997","-697,778","-10,581","-70,117","-50,432,982","32,801",13%
2013,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.02,"-305,752,819","-244,963,029","-66,269","-3,252,419","-760,839","-11,332","-65,075","-56,664,298","30,442",11%
2012,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.02,"-303,160,412","-259,953,221","-70,512","-3,451,345","-807,344","-12,046","-70,251","-38,828,556","32,863",12%
2011,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.02,"-326,107,753","-315,133,827","-71,982","-4,126,052","-967,134","-12,998","-85,609","-5,707,423","-2,729",3%
2010,CITIGROUP INC,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",0.00,-0.02,"-327,340,020","-284,800,336","-78,634","-3,780,493","-884,111","-13,351","-85,745","-37,737,463","40,111",13%
2017,CLEAN ENERGY FUELS CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",-0.04,NA,"-13,542,426","-13,219,599","-5,109","-160,031","-37,470",-675,"-56,645","-65,921","3,023",10%
2016,CLEAN ENERGY FUELS CORP,UNITED STATES OF AMERICA,Oil & Gas Refining & Marketing,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",-0.05,NA,"-19,724,895","-17,532,082","-6,057","-215,139","-50,291",-848,"-66,769","-1,856,622","2,913",10%
2013,CLEAN HARBORS INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,-0.03,-0.52,"-114,142,770","-111,678,062","-25,787","-1,477,288","-346,199","-4,665","-2,548","-608,756",536,2%
2019,CLEARWATER PAPER CORP,UNITED STATES OF AMERICA,Paper Products,Paper,0.13,4.57,"220,523,906","264,196,780","-113,047","3,194,493","827,050","-8,634","-415,965","-47,687,470","530,698",8%
2017,CLEARWATER PAPER CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.28,-6.59,"-476,420,870","-346,066,909","-105,785","-4,193,339","-968,363","-16,513","-408,622","-124,721,048","59,709",12%
2016,CLEARWATER PAPER CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.27,-4.35,"-476,561,510","-346,205,668","-105,816","-4,193,796","-968,469","-16,516","-409,651","-124,721,234","59,641",12%
2017,CMC MATERIALS INC,UNITED STATES OF AMERICA,Semiconductor Equipment ,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.01,-0.04,"-4,857,229","-4,258,046","-1,169","-53,880","-12,359",-194,"-81,899","-450,236",553,24%
